system:index,CD_MUN,eventos_frio_2022,p10_temp,.geo
000000000000000000bf,3548807,6,14.171175257364922,"{""type"":""Point"",""coordinates"":[-46.566137426869716,-23.626050752078534]}"
000000000000000000ee,3548708,6,14.80531039767798,"{""type"":""Point"",""coordinates"":[-46.55070948736395,-23.812955650150812]}"
0000000000000000010c,3547809,6,14.171175257364922,"{""type"":""Point"",""coordinates"":[-46.441714735974465,-23.727908022465787]}"
0000000000000000018d,3513801,6,14.171175257364922,"{""type"":""Point"",""coordinates"":[-46.61140707670662,-23.6973026459636]}"
000000000000000001a9,3529401,6,14.171175257364922,"{""type"":""Point"",""coordinates"":[-46.446331828874,-23.6661214453316]}"
00000000000000000259,3544103,6,14.056357532077394,"{""type"":""Point"",""coordinates"":[-46.37945214059124,-23.737858286158332]}"
0000000000000000026c,3543303,6,14.056357532077394,"{""type"":""Point"",""coordinates"":[-46.40279317030362,-23.701075185711478]}"
00000000000000000051,3550605,6,14.684976196289085,"{""type"":""Point"",""coordinates"":[-47.10956896306857,-23.54895793485415]}"
000000000000000000d4,3523909,6,15.277307446797721,"{""type"":""Point"",""coordinates"":[-47.28463199406653,-23.30713153425745]}"
000000000000000001d5,3545209,6,15.277307446797721,"{""type"":""Point"",""coordinates"":[-47.30260722659115,-23.18047378988047]}"
000000000000000001ec,3528403,6,14.684976196289085,"{""type"":""Point"",""coordinates"":[-47.22928890501725,-23.507939482532663]}"
0000000000000000001c,3510302,4,15.390267308553064,"{""type"":""Point"",""coordinates"":[-47.7309815399344,-23.467379071242632]}"
00000000000000000025,3551108,5,14.452765825059714,"{""type"":""Point"",""coordinates"":[-47.78578066639157,-23.66429391963035]}"
00000000000000000029,3525854,4,16.281292851765954,"{""type"":""Point"",""coordinates"":[-47.78813015887726,-23.099621795770666]}"
000000000000000000b7,3540606,6,16.080195999145516,"{""type"":""Point"",""coordinates"":[-47.516921399880516,-23.23030044803531]}"
0000000000000000010a,3507001,3,15.822294871012389,"{""type"":""Point"",""coordinates"":[-47.67496595273104,-23.287578022514293]}"
00000000000000000178,3554508,4,16.434352281358525,"{""type"":""Point"",""coordinates"":[-47.707786324908525,-23.049165159938962]}"
000000000000000001ad,3537909,6,13.874709701538109,"{""type"":""Point"",""coordinates"":[-47.7281206588186,-23.85635466902448]}"
000000000000000001bc,3537800,7,14.061978117624932,"{""type"":""Point"",""coordinates"":[-47.43814125359132,-23.786984685415543]}"
000000000000000001c9,3553500,6,13.874709701538109,"{""type"":""Point"",""coordinates"":[-47.619510561087296,-24.008688521955857]}"
000000000000000001da,3521002,4,15.390267308553064,"{""type"":""Point"",""coordinates"":[-47.62912212198328,-23.404481045182926]}"
00000000000000000213,3519709,6,13.60650469462081,"{""type"":""Point"",""coordinates"":[-47.215205454878074,-23.802302961213886]}"
00000000000000000215,3511508,3,15.822294871012389,"{""type"":""Point"",""coordinates"":[-47.75713312522865,-23.187120759184797]}"
00000000000000000254,3502754,6,14.420336023966499,"{""type"":""Point"",""coordinates"":[-47.07237412863337,-23.43441045502668]}"
00000000000000000045,3501152,6,14.684976196289085,"{""type"":""Point"",""coordinates"":[-47.281249044997736,-23.532994101890534]}"
000000000000000000bd,3557006,6,15.313142924838624,"{""type"":""Point"",""coordinates"":[-47.40652833984256,-23.579877657138024]}"
000000000000000001cc,3545308,5,14.804718271891295,"{""type"":""Point"",""coordinates"":[-47.5806336910712,-23.65276342190043]}"
0000000000000000024a,3502903,4,15.390267308553064,"{""type"":""Point"",""coordinates"":[-47.65152043326307,-23.543859165205546]}"
00000000000000000252,3552205,6,15.313142924838624,"{""type"":""Point"",""coordinates"":[-47.44676677279075,-23.464546286190608]}"
00000000000000000063,3500758,4,15.19852472941083,"{""type"":""Point"",""coordinates"":[-47.86905148749893,-23.54892885858653]}"
0000000000000000014a,3522307,4,14.439518864949576,"{""type"":""Point"",""coordinates"":[-48.12324030895925,-23.64545164967232]}"
0000000000000000006f,3550209,4,13.790063794453971,"{""type"":""Point"",""coordinates"":[-47.99336576867228,-23.91391547358696]}"
000000000000000001a0,3554003,4,15.714011287689232,"{""type"":""Point"",""coordinates"":[-47.86950407114323,-23.36207197957887]}"
00000000000000000218,3511607,4,15.714011287689232,"{""type"":""Point"",""coordinates"":[-47.903889130319904,-23.216511790277718]}"
000000000000000001ff,3520509,6,16.079816224839988,"{""type"":""Point"",""coordinates"":[-47.2025087777642,-23.106060505027862]}"
00000000000000000086,3524709,5,15.8090686162313,"{""type"":""Point"",""coordinates"":[-47.01277823189116,-22.691979164254132]}"
00000000000000000122,3548005,5,16.94177483452694,"{""type"":""Point"",""coordinates"":[-46.94991788759235,-22.603276861911937]}"
