id_municipio,satelite,focos
3556206,,6
3548708,,2
3502754,,3
3515152,,8
3522307,,7
3509502,,11
3537107,,1
3528403,,2
3537909,,8
3523909,,16
3503802,,1
3519071,,1
3537800,,12
3545803,,4
3551108,,3
3520509,,2
3512803,,2
3552403,,5
3545308,,5
3540606,,8
3550209,,1
3519709,,3
3552205,,2
3545209,,5
3501608,,3
3521002,,1
3531803,,1
3557006,,9
3550605,,2
3533403,,3
3548005,,3
3556701,,2
3536505,,4
3510302,,1
3500758,,3
3502903,,1
3554003,,3
3524709,,1
3523404,,1
3501152,,1
